producto,marca,formato,cantidad,precio,supermercado,categoria
Cerveza,Stella Artois,Botella,33 cl,1.69,Dia,Bebidas con alcohol
Cerveza red vintage,1906,Botella,6 x 33 cl,7.55,Dia,Bebidas con alcohol
Cerveza doble malta,Voll Damm,Botella,6 x 25 cl,5.49,Dia,Bebidas con alcohol
Cerveza especial sin gluten,Ambar,Botella,33 cl,1.29,Dia,Bebidas con alcohol
Cerveza extra  Selecta,San Miguel,Lata,33 cl,1.0,Dia,Bebidas con alcohol
Cerveza reserva especial,1906,Lata,33 cl,1.09,Dia,Bebidas con alcohol
Gazpacho,Al Punto,Brik,1 l,1.95,Dia,"Conservas, caldos y cremas"
Salmorejo,Al Punto,Brik,1 l,2.39,Dia,"Conservas, caldos y cremas"
Gazpacho,Al Punto,Brik,3 x 330 ml,2.39,Dia,"Conservas, caldos y cremas"
Gazpacho suave,Al Punto,Brik,1 l,1.95,Dia,"Conservas, caldos y cremas"
Muesli extra,Gran Dia,Caja,500 g,1.95,Dia,Cereales y galletas
Copos de avena,Gran Dia,Caja,500 g,1.0,Dia,Cereales y galletas
Muesli crujiente con chocolate,Gran Dia,Caja,500 g,2.1,Dia,Cereales y galletas
Cereales rellenos de leche,Gran Dia,Caja,500 g,2.5,Dia,Cereales y galletas
Cereales rellenos con chocolate y avena,Gran Dia,Caja,500 g,2.1,Dia,Cereales y galletas
Cereales copos de maíz corn flakes,Gran Dia,Caja,500 g,1.45,Dia,Cereales y galletas
"Cereales copos de trigo, arroz y cebada con chocolate negro",Gran Dia,Caja,300 g,1.88,Dia,Cereales y galletas
Cereales copos de maíz corn flakes  Corn Flakes,Kellogg's,Caja,500 g,3.0,Dia,Cereales y galletas
Cereales de arroz inflado  Choco Krispies,Kellogg's,Caja,420 g,3.55,Dia,Cereales y galletas
Cereales de pétalos de trigo y chocolate,Gran Dia,Caja,500 g,1.8,Dia,Cereales y galletas
Cereales de trigo inflado con miel,Gran Dia,Caja,500 g,1.95,Dia,Cereales y galletas
Cereales integrales con chocolate  Chocapic,Nestlé,Caja,375 g,3.19,Dia,Cereales y galletas
Cereales copos de arroz y trigo integral cubiertos de chocolate,Gran Dia,Caja,300 g,1.88,Dia,Cereales y galletas
Barritas de cereales con chocolate con leche,Gran Dia,Caja,150 g,1.49,Dia,Cereales y galletas
Cereales de arroz inflado con chocolate,Gran Dia,Caja,500 g,2.1,Dia,Cereales y galletas
Cereales copos de arroz y trigo integral con frutos rojos,Gran Dia,Caja,300 g,1.88,Dia,Cereales y galletas
Barritas de cereales plátano y chocolate con leche,Gran Dia,Caja,150 g,1.49,Dia,Cereales y galletas
