producto,marca,formato,cantidad,precio,supermercado,categoria
Tinte negro nº 1,Palette,Caja,1 unidad,4.69,Dia,Higiene
Tinte ultra negro nº 1,Color sensation,Caja,1 unidad,3.99,Dia,Higiene
Tinte rojo intenso nº 6.60,Color sensation,Caja,1 unidad,3.99,Dia,Higiene
Tinte castaño oscuro nº 3.65,Palette,Caja,1 unidad,4.69,Dia,Higiene
Tinte intensive age color 10.1 rubio muy claro ceniza,Palette,Caja,1 unidad,5.49,Dia,Higiene
Tinte rubio oscuro nº 6.0,Imaqe de Dia,Caja,1 unidad,3.85,Dia,Higiene
Tinte negro azulado nº 1.1,Palette,Caja,1 unidad,4.69,Dia,Higiene
Tinte castaño medio chocolate nº 1,Palette,Caja,1 unidad,4.69,Dia,Higiene
Tinte rubio muy claro nº 10,Palette,Caja,1 unidad,4.69,Dia,Higiene
Tinte rubio oscuro rojizo nº 6.6,Imaqe de Dia,Caja,1 unidad,3.85,Dia,Higiene
"Tinte violín nº 4,99",Palette,Caja,1 unidad,4.69,Dia,Higiene
Aclarante intensivo con aceite activador,Nordic blonde,Caja,1 unidad,6.29,Dia,Higiene
Tinte retoca raíces tono negro L'Oréal,Magic retouch,Spray,75 ml,6.99,Dia,Higiene
Acondicionador capilar hidratación intensa,Tresemmé,Botella,685 ml,5.99,Dia,Higiene
Tinte retoca raíces tono marrón L'Oréal,Magic retouch,Bote,75 ml,6.99,Dia,Higiene
Tinte rubio claro dorado nº 8.34,Imaqe de Dia,Caja,1 unidad,3.85,Dia,Higiene
Tinte silver nº 0.12,Imaqe de Dia,Caja,1 unidad,3.85,Dia,Higiene
Tinte rubio claro nº 8.0,Imaqe de Dia,Caja,1 unidad,3.85,Dia,Higiene
Tinte castaño claro nº 5.0,Imaqe de Dia,Caja,1 unidad,3.85,Dia,Higiene
Tinte intensive age color 9.4 rubio claro beige,Palette,Caja,1 unidad,5.49,Dia,Higiene
Tinte intensive age color 7.1 rubio ceniza,Palette,Caja,1 unidad,5.49,Dia,Higiene
Tinte intensive age color 8.5 rubio dorado,Palette,Caja,1 unidad,5.49,Dia,Higiene
Tinte intensive age color 9.0 rubio claro,Palette,Caja,1 unidad,5.49,Dia,Higiene
Tinte rojo intenso nº 5-92,Syoss,Caja,1 unidad,5.99,Dia,Higiene
Tinte rubio claro ceniza nº 10-50,Syoss,Caja,1 unidad,5.99,Dia,Higiene
Tinte rubio miel nº 8-60,Syoss,Caja,1 unidad,5.99,Dia,Higiene
Tinte blanco perla,Excellence,Caja,1 unidad,6.95,Dia,Higiene
Tinte rubio dorado nº 7.3,Nutrisse,Caja,1 unidad,5.99,Dia,Higiene
Tinte rubio muy claro nº 9,Nutrisse,Caja,1 unidad,5.99,Dia,Higiene
Tinte castaño oscuro nº 3,Nutrisse,Caja,1 unidad,5.99,Dia,Higiene
Tinte rubio claro nº 8,Nutrisse,Caja,1 unidad,5.99,Dia,Higiene
Tinte rubio oscuro nº 6.10,Nutrisse,Caja,1 unidad,5.99,Dia,Higiene
Tinte rubio nº 7,Nutrisse,Caja,1 unidad,5.99,Dia,Higiene
Tinte castaño nº 4,Nutrisse,Caja,1 unidad,5.99,Dia,Higiene
Tinte chocolate nº 5.35,Nutrisse,Caja,1 unidad,5.99,Dia,Higiene
Tinte rubio claro ceniza nº 8.1,Palette,Caja,1 unidad,4.69,Dia,Higiene
Tinte negro intenso nº 1.10,Syoss,Caja,T1 unidad,5.99,Dia,Higiene
Tinte rubio nº 7,Color sensation,Caja,1 unidad,3.99,Dia,Higiene
Tinte rubio medio nº 7,Palette,Caja,1 unidad,4.69,Dia,Higiene
Tinte rubio natural nº 7-10,Syoss,Caja,1 unidad,5.99,Dia,Higiene
Tinte rubio dorado caramelo nº 7.5,Palette,Caja,1 unidad,4.69,Dia,Higiene
Tinte rubio dorado nº 7.3,Color sensation,Caja,1 unidad,3.99,Dia,Higiene
Tinte rubio caramelo nº 6.35,Color sensation,Caja,1 unidad,3.99,Dia,Higiene
Tinte para hombre moreno,Jfm,Caja,1 unidad,8.99,Dia,Higiene
Tinte rubio luminoso nº 8,Color sensation,Caja,1 unidad,3.99,Dia,Higiene
Tinte rubio oscuro nº 6,Color sensation,Caja,1 unidad,3.99,Dia,Higiene
Tinte rubio oscuro nº 6,Palette,Caja,1 unidad,4.69,Dia,Higiene
Tinte rubio claro nº 8,Palette,Caja,1 unidad,4.69,Dia,Higiene
Champú rizos perfectos,Imaqe de Dia,Botella,400 ml,3.6,Dia,Higiene
Champú familiar,Perseida Belleza,Botella,1 l,1.05,Dia,Higiene
Champú profesional con keratina,Imaqe de Dia,Botella,750 ml,1.99,Dia,Higiene
Champú profesional hidratante,Imaqe de Dia,Botella,750 ml,1.99,Dia,Higiene
Recambio champú profesional hidratante,Imaqe de Dia,Bolsa,750 ml,1.79,Dia,Higiene
Champú anticaspa dos en uno clásico,H&s,Botella,250 ml,3.49,Dia,Higiene
Champú anticaspa mentol,Imaqe de Dia,Botella,500 ml,2.75,Dia,Higiene
Champú repara y protege,Pantene,Botella,225 ml,2.99,Dia,Higiene
Champú fortificante fuerza y brillo cabello normal,Fructis,Botella,300 ml,3.49,Dia,Higiene
Champú repara y protege pack,Pantene,Botella,2 x 250 ml,5.79,Dia,Higiene
Champú bio aceite de argán,Herbal Essences,Botella,2 x 250 ml,4.99,Dia,Higiene
Champú coco fruit revolution,Imaqe de Dia,Botella,400 ml,2.49,Dia,Higiene
Champú anticaspa cítrico,Imaqe de Dia,Botella,500 ml,2.75,Dia,Higiene
Champú hidra con ácido hialurónico,Elvive,Botella,300 ml,3.29,Dia,Higiene
Champú anticaspa citrus fresh cabello graso,H&s,Botella,250 ml,3.49,Dia,Higiene
Champú cuidado clásico todo tipo de cabellos,Tresemmé,Botella,685 ml,5.99,Dia,Higiene
Champú hidratación intensa cabello seco,Tresemmé,Botella,685 ml,5.99,Dia,Higiene
Champú tesoros de miel,Original Remedies,Botella,250 ml,2.99,Dia,Higiene
Champú con keratina fortificante,Flex,Botella,650 ml,3.45,Dia,Higiene
Champú hidra rizos,Fructis,Botella,300 ml,3.49,Dia,Higiene
Champú fresco y fuerte cabello normal,Timotei,Botella,400 ml,3.95,Dia,Higiene
Champú reflejos dorados cabello rubio,Timotei,Botella,400 ml,3.95,Dia,Higiene
Champú purificante con ácido hialurónico,Elvive,Botella,300 ml,3.29,Dia,Higiene
Champú anticaspa classic,H&s,Botella,250 ml,3.49,Dia,Higiene
Champú anticaspa menthol fresh,H&s,Botella,250 ml,3.49,Dia,Higiene
Champú anticaspa prevención de la caída,H&s,Botella,250 ml,3.49,Dia,Higiene
Champú anticaspa y acondicionador dos en uno,H&s,Botella,625 ml,8.59,Dia,Higiene
Champú anticaspa menthol fresh,H&s,Botella,625 ml,8.59,Dia,Higiene
Champú anticaspa citrus fresh,H&s,Botella,625 ml,8.59,Dia,Higiene
Champú anticaspa classic,H&s,Botella,625 ml,8.59,Dia,Higiene
Champú carbón activo,Anian,Botella,400 ml,2.99,Dia,Higiene
Champú reparador cabello muy dañado,Elvive,Botella,300 ml,3.29,Dia,Higiene
Champú reconstructor cabello largo,Elvive,Botella,300 ml,3.29,Dia,Higiene
Champú nutritivo cabello seco,Elvive,Botella,300 ml,3.29,Dia,Higiene
Champú fortificante cabello frágil,Elvive,Botella,300 ml,3.29,Dia,Higiene
Champú protector del color cabello teñido,Elvive,Botella,300 ml,3.29,Dia,Higiene
Champú anticaída herbolaria milenaria,Tío Nacho,Botella,330 ml,4.99,Dia,Higiene
Champú repara y revitaliza,Anian,Botella,400 ml,2.99,Dia,Higiene
Champú micelar high volumen,Tulipán Negro,Botella,400 ml,3.6,Dia,Higiene
Champú micelar purificante,Tulipán Negro,Botella,400 ml,3.6,Dia,Higiene
Champú seco antigrasa,Syoss,Spray,200 ml,4.49,Dia,Higiene
Champú duplo repara y protege,Pantene,Botella,2 x 385 ml,6.99,Dia,Higiene
Champú cebolla y biotina,Anian,Bote,400 ml,2.99,Dia,Higiene
Champú de carbón magnético,Original Remedies,Bote,250 ml,2.99,Dia,Higiene
Champú hidratante miracles pantene,Pantene,Botella,225 ml,3.99,Dia,Higiene
Champú y acondicionador anticaspa 2 en 1,Imaqe de Dia,Botella,500 ml,2.75,Dia,Higiene
Champú 7 hierbas,Schwarzkopf,Bote,400 ml,2.29,Dia,Higiene
Champú camomila natural,Imaqe de Dia,Botella,250 ml,2.2,Dia,Higiene
Champú plátano,Imaqe de Dia,Botella,400 ml,2.49,Dia,Higiene
Champú arcilla y té natural,Imaqe de Dia,Botella,250 ml,2.2,Dia,Higiene
Champú avena natural,Imaqe de Dia,Botella,250 ml,2.2,Dia,Higiene
Champú oliva natural,Imaqe de Dia,Botella,250 ml,2.2,Dia,Higiene
Champú miel natural,Imaqe de Dia,Botella,250 ml,2.2,Dia,Higiene
Champú karité cabello seco,Vitarelle,Botella,400 ml,2.9,Dia,Higiene
Champú biloba prevención,Vitarelle,Botella,400 ml,2.9,Dia,Higiene
Champú aloe vera uso diario,Vitarelle,Botella,400 ml,2.9,Dia,Higiene
Champú lemon grass cabello graso,Vitarelle,Botella,400 ml,2.9,Dia,Higiene
Champú en seco blush,Batiste,Bote,200 ml,3.49,Dia,Higiene
Champú bio leche de coco,Herbal Essences,Botella,2 x 250 ml,4.99,Dia,Higiene
Champú suave y liso pack,Pantene,Botella,2 x 250 ml,5.79,Dia,Higiene
Champú nutritivo reparador,Babaria,Botella,500 ml,3.25,Dia,Higiene
Champú protector de color,Babaria,Botella,500 ml,3.25,Dia,Higiene
Champú seco cherry,Batiste,Spray,200 ml,3.49,Dia,Higiene
Champú seco original,Batiste,Spray,200 ml,3.49,Dia,Higiene
Champú sólido reparador con aguacate y arándanos,Imaqe de Dia,Caja,60 g,2.95,Dia,Higiene
Champú sólido hidratante con cannabis y aceite de cáñamo,Imaqe de Dia,Caja,60 g,2.95,Dia,Higiene
Champú protector del color cabello teñido,Elvive,Botella,285 ml,3.29,Dia,Higiene
Champú délicatesse de avena,Original Remedies,Botella,250 ml,2.99,Dia,Higiene
Champú pure fresh agua de coco,Fructis,Botella,300 ml,3.49,Dia,Higiene
Champú total repair 5 cabello dañado,Elvive,Botella,285 ml,3.29,Dia,Higiene
Champú dream long reconstructor,Elvive,Botella,285 ml,3.29,Dia,Higiene
Champú nutritivo aceite extraordinario cabello seco,Elvive,Bote,285 ml,3.29,Dia,Higiene
Champú repara & regenera,Schwarzkopf,Botella,400 ml,2.69,Dia,Higiene
Champú brillo & vitalidad,Schwarzkopf,Botella,400 ml,2.69,Dia,Higiene
Acondicionador repara & protege,Schwarzkopf,Botella,250 ml,2.69,Dia,Higiene
Champú split hair miracle cabello encrespado,Gliss,Botella,250 ml,2.99,Dia,Higiene
Champú ultimate oil elixir cabello castigado,Gliss,Botella,250 ml,2.99,Dia,Higiene
Champú & acondicionador para niños,Schwarzkopf,Botella,250 ml,2.69,Dia,Higiene
Champú & gel de ducha kids,Schwarzkopf,Botella,250 ml,2.69,Dia,Higiene
Champú color protect & shine,Schwarzkopf,Botella,400 ml,2.69,Dia,Higiene
Champú purificante,Pantene,Botella,225 ml,2.99,Dia,Higiene
Champú hair food banana cabello seco,Fructis,Botella,350 ml,5.49,Dia,Higiene
Champú anticaspa y acondicionador dos en uno,H&s,Botella,1 l,12.49,Dia,Higiene
Champú rizos definidos,Pantene,Botella,225 ml,2.99,Dia,Higiene
Champú anticaspa,Pantene,Botella,225 ml,2.99,Dia,Higiene
Champú aceite de argán,Ogx,Botella,385 ml,8.49,Dia,Higiene
Champú suave y liso,Pantene,Botella,225 ml,2.99,Dia,Higiene
Champú clásico,Pantene,Botella,225 ml,2.99,Dia,Higiene
Champú oliva,Original Remedies,Botella,250 ml,2.99,Dia,Higiene
Champú adiós daños repara y fortifica,Fructis,Botella,300 ml,3.49,Dia,Higiene
Champú reparador ultimate,Gliss,Botella,250 ml,2.99,Dia,Higiene
Champú con keratina para cabello normal,Flex,Botella,650 ml,3.45,Dia,Higiene
Champú con keratina para cabello graso,Flex,Botella,650 ml,3.45,Dia,Higiene
Champú y acondicionador dos en uno delicado cabello normal,Timotei,Botella,400 ml,3.95,Dia,Higiene
Berberechos al natural S,Hacendado,Lata,111 g (63 g escurrido),2.7,Mercadona,"Conservas, caldos y cremas"
Berberechos al natural M,Hacendado,Lata,111 g (63 g escurrido),3.6,Mercadona,"Conservas, caldos y cremas"
Berberechos al natural L,Hacendado,Lata,111 g (63 g escurrido),5.45,Mercadona,"Conservas, caldos y cremas"
Almejones al natural,Cono sur,Lata,111 g (63 g escurrido),1.2,Mercadona,"Conservas, caldos y cremas"
Concha fina al natural,Marinara,Lata,90 g (55 g escurrido),1.75,Mercadona,"Conservas, caldos y cremas"
Zamburiñas en salsa de vieira,Hacendado,Lata,110 g (63 g escurrido),1.95,Mercadona,"Conservas, caldos y cremas"
Almejas del Pacífico  al natural,Hacendado,Lata,111 g (63 g escurrido),1.8,Mercadona,"Conservas, caldos y cremas"
Mejillones en escabeche  pequeños,Hacendado,Lata,2 latas x 106 g,2.3,Mercadona,"Conservas, caldos y cremas"
Mejillones en escabeche  pequeños,Hacendado,Lata,111 g (69 g escurrido),1.8,Mercadona,"Conservas, caldos y cremas"
Mejillones al natural  pequeños,Hacendado,Lata,111 g (69 g escurrido),1.2,Mercadona,"Conservas, caldos y cremas"
Mejillones picantes en escabeche  pequeños,Hacendado,Lata,111 g (69 g escurrido),1.45,Mercadona,"Conservas, caldos y cremas"
Mejillones en salsa de vieira  pequeños,Hacendado,Lata,111 g (69 g escurrido),1.9,Mercadona,"Conservas, caldos y cremas"
Laca cabello,Nelly,Spray,400 ml,2.35,Mercadona,Higiene
Laca cabello Forte  fijación 3,Deliplus,Spray,400 ml,1.8,Mercadona,Higiene
Espuma cabello Rizos Definidos  fijación 5,Pantene,Spray,250 ml,3.75,Mercadona,Higiene
Laca cabello Normal  fijación 2,Deliplus,Spray,400 ml,1.8,Mercadona,Higiene
Laca cabello Ultra Fuerte  fijación 5,Pantene,Spray,300 ml,3.75,Mercadona,Higiene
Laca cabello Xtra Forte  fijación 4,Deliplus,Spray,400 ml,1.8,Mercadona,Higiene
Laca cabello Xtra Forte  fijación 4,Deliplus,Spray,75 ml,1.05,Mercadona,Higiene
Espuma cabello Xtra Forte  fijación 4,Deliplus,Bote,300 ml,1.9,Mercadona,Higiene
Espuma cabello Xtra Forte  fijación 4,Deliplus,Bote,100 ml,1.65,Mercadona,Higiene
Espuma cabello Rizos Descarados  fijación 4,Giorgi,Spray,250 ml,2.9,Mercadona,Higiene
Espuma cabello Ondas Curly  fijación 3,Deliplus,Bote,300 ml,2.3,Mercadona,Higiene
Protector térmico cabello Termo Protect,Deliplus,Spray,200 ml,3.0,Mercadona,Higiene
Agua de peinado cabello Aqua Styling,Deliplus,Spray,200 ml,2.1,Mercadona,Higiene
Spray cabello Ondas Surfing,Deliplus,Spray,200 ml,2.4,Mercadona,Higiene
Mousse fijador cabello  fijación 2,Deliplus,Bote,200 ml,2.6,Mercadona,Higiene
Espuma cabello Max Volum  fijación 3,Deliplus,Bote,300 ml,1.9,Mercadona,Higiene
Laca cabello  fijación fuerte,Elnett,Spray,400 ml,5.5,Mercadona,Higiene
Bruma capilar y corporal Daily Love con brillo,Deliplus,Spray,250 ml,4.0,Mercadona,Higiene
Gel fijador cabello Xtra Forte  fijación 4,Deliplus,Bote,250 ml,1.6,Mercadona,Higiene
Gel fijador cabello Xtra Forte  fijación 4,Deliplus,Bote,100 ml,1.5,Mercadona,Higiene
Gel fijador cabello Forte  fijación 3,Deliplus,Bote,400 ml,1.6,Mercadona,Higiene
Cera cabello Mate  fijación 4,Deliplus,Bote,100 ml,3.5,Mercadona,Higiene
Gel fijador cabello X-trem  fijación 6,Deliplus,Bote,250 ml,1.6,Mercadona,Higiene
Gel fijador cabello Wet Shine  fuerte 02,Fructis,Bote,250 ml,2.75,Mercadona,Higiene
Gel fijador cabello extra fuerte  fijación 3,Giorgi,Bote,170 ml,2.9,Mercadona,Higiene
Gel fijador cabello control total  fijación 5,Giorgi,Bote,170 ml,2.9,Mercadona,Higiene
Cera cabello Brillo  fijación 4,Deliplus,Bote,100 ml,3.2,Mercadona,Higiene
Gel activador de rizos cabello Curl Perfect  fix 3,Deliplus,Bote,200 ml,2.95,Mercadona,Higiene
Gel fijador de rizos cabello Curl Control,Syoss,Bote,250 ml,3.75,Mercadona,Higiene
Detergente máquina líquido marsella Super Paco de,Dia,Garrafa,46 lavados,3.3,Dia,Limpieza
Suavizante concentrado azul Super Paco de,Dia,Botella,80 lavados,2.09,Dia,Limpieza
Detergente máquina líquido marsella Super Paco de,Dia,Garrafa,61 lavados,5.09,Dia,Limpieza
Detergente máquina líquido azul Super Paco de,Dia,Garrafa,46 lavados,3.3,Dia,Limpieza
Suavizante concentrado talco Super Paco de,Dia,Botella,80 lavados,2.09,Dia,Limpieza
Detergente máquina líquido colonia  Super Paco de  garrafa,Dia,Botella,46 lavados,3.3,Dia,Limpieza
Suavizante concentrado algodón Super Paco de,Dia,Botella,80 lavados,2.15,Dia,Limpieza
Suavizante concentrado floral Super Paco de,Dia,Botella,80 lavados,2.15,Dia,Limpieza
Detergente máquina líquido prendas delicadas Super Paco de,Dia,Garrafa,66 lavados,2.5,Dia,Limpieza
Oxígeno activo blanco Super Paco de,Dia,Frasco,1 Kg,3.1,Dia,Limpieza
Oxígeno activo color Super Paco de,Dia,Frasco,1 Kg,3.1,Dia,Limpieza
Quitamanchas Super Paco de,Dia,Spray,750 ml,2.0,Dia,Limpieza
Lejía ropa densa perfumada,Dia,Garrafa,2 l,1.2,Dia,Limpieza
Toallitas atrapacolor Super Paco de,Dia,Caja,20 unidades,1.85,Dia,Limpieza
Detergente máquina polvo marsella Super Paco de,Dia,Caja,35 lavados,4.25,Dia,Limpieza
Suavizante premium albaricoque y nectarina Super Paco de,Dia,Botella,60 lavados,2.29,Dia,Limpieza
Detergente máquina 3 en 1 Super Paco de ,Dia,Caja,18 lavados,4.39,Dia,Limpieza
Detergente máquina fusión floral,Puntomatic,Bolsa,12 lavados,2.89,Dia,Limpieza
Suavizante concentrado azul vital,Mimosin,Botella,56 lavados,3.25,Dia,Limpieza
Detergente máquina líquido floral Super Paco de,Dia,Garrafa,46 lavados,3.3,Dia,Limpieza
Suavizante concentrado talco rosa,San,Botella,59 lavados,2.49,Dia,Limpieza
Descalcificador de lavadora en pastillas,Calgon,Caja,15 unidades,7.99,Dia,Limpieza
Lejía,Neutrex,Garrafa,1.9 l,2.99,Dia,Limpieza
Suavizante concentrado caricias,Mimosin,Botella,56 lavados,3.25,Dia,Limpieza
Suavizante concentrado bergamota salvaje  Origins,Mimosin,Botella,50 lavados,3.25,Dia,Limpieza
Detergente máquina adiós al separar,Dixan,Bolsa,12 lavados,3.99,Dia,Limpieza
Detergente máquina líquido básico,Ariel,Botella,32 lavados,7.99,Dia,Limpieza
Detergente máquina líquido básico,Ariel,Botella,75 lavados,16.99,Dia,Limpieza
Detergente máquina líquido limpieza profunda,Skip,Botella,35 lavados,9.99,Dia,Limpieza
Detergente máquina líquido máxima eficacia,Skip,Botella,33 lavados,9.99,Dia,Limpieza
Detergente líquido Marsella,Omino bianco,Botella,45 lavados,9.99,Dia,Limpieza
Jabón blando quitamanchas natural,Beltrán,Bote,500 g,2.9,Dia,Limpieza
Detergente máquina líquido gel colores vivos,Micolor,Garrafa,30 lavados,8.59,Dia,Limpieza
Perlas para lavadora classics es de Algodón Lenor,Flor,Botella,210 g,5.59,Dia,Limpieza
Detergente máquina líquido complet,Norit,Garrafa,53 lavados,8.95,Dia,Limpieza
Detergente ropa gel lana y ropa delicada,Perlan,Garrafa,41 lavados,5.85,Dia,Limpieza
Detergente máquina en polvo limpieza total,Elena,Caja,45 lavados,7.99,Dia,Limpieza
Detergente máquina frescor natural,Alin,Caja,84 lavados,9.79,Dia,Limpieza
Suavizante perfumador azul,Flor,Botella,36 lavados,4.69,Dia,Limpieza
Suavizante perfumado rosa,Flor,Botella,36 lavados,4.69,Dia,Limpieza
Detergente máquina líquido básico,Colon,Botella,40 lavados,5.99,Dia,Limpieza
Detergente máquina doble acción,Skip,Bolsa,46 lavados,15.95,Dia,Limpieza
Suavizante concentrado aromaterapia lirio,Vernel,Botella,70 lavados,3.99,Dia,Limpieza
Suavizante concentrado cielo azul,Vernel,Botella,70 lavados,3.99,Dia,Limpieza
Aditivo desinfectante textil ytol,San,Botella,1.2 l,5.99,Dia,Limpieza
Lejía futura,Neutrex,Garrafa,1.9 l,3.09,Dia,Limpieza
Detergente máquina all in 1,Ariel,Caja,25 lavados,11.99,Dia,Limpieza
Suavizante concentrado flor de tiaré  Creaciones,Mimosin,Botella,60 lavados,4.49,Dia,Limpieza
Perfumador líquido para ropa green,Asevi,Botella,720 ml,4.29,Dia,Limpieza
Perfumador líquido para ropa blue,Asevi,Botella,720 ml,4.29,Dia,Limpieza
Perfumador líquido para ropa pink,Asevi,Botella,720 ml,4.29,Dia,Limpieza
Detergente máquina líquido limpio y liso,Wipp Express,Botella,43 lavados,14.99,Dia,Limpieza
Detergente máquina,Micolor,Caja,10 lavados,4.65,Dia,Limpieza
Detergente máquina en polvo,Colon,Caja,50 lavados,12.49,Dia,Limpieza
Detergente máquina líquido gel sensaciones,Colon,Garrafa,45 lavados,11.99,Dia,Limpieza
Suavizante premium bergamota y sándalo Super Paco de,Dia,Botella,60 lavados,2.29,Dia,Limpieza
Suavizante premium rosa y ámbar Super Paco de,Dia,Botella,60 lavados,2.29,Dia,Limpieza
Detergente máquina total,Dixan,Caja,12 lavados,4.29,Dia,Limpieza
Activador del lavado color Super Paco de,Dia,Garrafa,2 l,1.75,Dia,Limpieza
Agua de plancha Super Paco de,Dia,Botella,1 l,0.65,Dia,Limpieza
Pastillas antical para lavadora Super Paco de,Dia,Caja,30 unidades,2.79,Dia,Limpieza
Detergente máquina marsella Super Paco de,Dia,Bolsa,30 lavados,5.49,Dia,Limpieza
Suavizante concentrado exótico Super Paco de,Dia,Botella,80 lavados,2.15,Dia,Limpieza
Suavizante concentrado termal Super Paco de,Dia,Botella,80 lavados,2.15,Dia,Limpieza
Detergente máquina líquido ropa oscura Super Paco de,Dia,Garrafa,30 lavados,4.2,Dia,Limpieza
Detergente máquina líquido color Super Paco de,Dia,Botella,46 lavados,4.2,Dia,Limpieza
Detergente máquina líquido blanco&color Super Paco de,Dia,Botella,61 lavados,8.49,Dia,Limpieza
Detergente máquina líquido blanco&color Super Paco de,Dia,Botella,30 lavados,4.59,Dia,Limpieza
Detergente máquina polvo blanca y color Super Paco de,Dia,Caja,35 lavados,4.85,Dia,Limpieza
Detergente en polvo a mano Super Paco de,Dia,Caja,600 g,1.15,Dia,Limpieza
Detergente máquina todo en uno,Ariel,Bolsa,45 lavados,19.95,Dia,Limpieza
Detergente máquina todo en uno active,Ariel,Caja,12 lavados,5.99,Dia,Limpieza
Detergente máquina líquido quitamanchas,Ariel,Botella,24 lavados,11.19,Dia,Limpieza
Detergente máquina todo en uno ultra oxi,Ariel,Caja,12 lavados,6.79,Dia,Limpieza
Detergente máquina 3 en 1,Skip,Caja,16 lavados,6.99,Dia,Limpieza
Suavizante concentrado twist frutos rojos,Flor,Botella,59 lavados,3.69,Dia,Limpieza
Suavizante azul original,Flor,Botella,63 lavados,3.29,Dia,Limpieza
Perlas de perfume frescor de abril,Lenor,Botella,210 g,5.59,Dia,Limpieza
Detergente máquina 4 en 1,Wipp Express,Bolsa,20 lavados,7.99,Dia,Limpieza
Detergente máquina en polvo original,Ariel,Caja,30 lavados,9.99,Dia,Limpieza
Suavizante concentrado aromaterapia coco,Vernel,Botella,70 lavados,3.49,Dia,Limpieza
Detergente máquina líquido gel azul activo,Colon,Botella,45 lavados,12.49,Dia,Limpieza
Perlas de perfume fresh para la ropa,Lenor,Botella,140 g,5.99,Dia,Limpieza
Detergente máquina líquido con vanish advance,Colon,Botella,40 lavados,12.49,Dia,Limpieza
Toallitas captura colores,Iberia,Caja,15 unidades,3.49,Dia,Limpieza
Detergente a mano líquido cuidado delicado,Norit,Botella,45 lavados,3.99,Dia,Limpieza
Detergente máquina líquido bebé,Norit,Botella,32 lavados,3.99,Dia,Limpieza
Detergente máquina líquido delicado,Norit,Botella,37 lavados,3.99,Dia,Limpieza
Detergente máquina en polvo básico,Ariel,Caja,40 lavados,10.99,Dia,Limpieza
Limpia lavadora,Colon,Caja,250 ml,4.99,Dia,Limpieza
Toallitas atrapa color,Micolor,Caja,16 unidades,2.79,Dia,Limpieza
Suavizante concentrado nenuco,Flor,Botella,78 lavados,4.69,Dia,Limpieza
Suavizante concentrado azul,Flor,Botella,78 lavados,4.69,Dia,Limpieza
Detergente máquina líquido adiós al separar,Dixan,Botella,30 lavados,6.99,Dia,Limpieza
Detergente máquina líquido bouquet,Flota,Botella,42 lavados,4.99,Dia,Limpieza
Detergente máquina líquido,Skip,Botella,90 lavados,15.95,Dia,Limpieza
Detergente máquina líquido sensible,Norit,Botella,40 lavados,6.99,Dia,Limpieza
Detergente máquina blanco puro en pastillas,Puntomatic,Bolsa,4 lavados,0.99,Dia,Limpieza
Detergente líquido a mano con bicarbonato,Gior,Caja,750 ml,2.99,Dia,Limpieza
Agua destilada,Quicesa,Garrafa,2 l,1.39,Dia,Limpieza
Suavizante concentrado esencia para recordar,San,Botella,59 lavados,2.49,Dia,Limpieza
Detergente máquina líquido total,Dixan,Botella,30 lavados,6.99,Dia,Limpieza
Detergente máquina líquido limpio y liso,Wipp Express,Botella,28 lavados,8.99,Dia,Limpieza
Harina de trigo,Hacendado,Paquete,1 kg,0.7,Mercadona,Panadería y pastelería
Harina de trigo grande,Hacendado,Paquete,5 kg,2.9,Mercadona,Panadería y pastelería
Harina de fuerza,Hacendado,Paquete,1 kg,0.91,Mercadona,Panadería y pastelería
Preparado para bizcochos con levadura incorporada,Hacendado,Paquete,1 kg,1.05,Mercadona,Panadería y pastelería
Harina de maíz blanco precocida,Hacendado,Paquete,1 kg,1.68,Mercadona,Panadería y pastelería
Harina fina de maíz,Hacendado,Paquete,400 g,1.2,Mercadona,Panadería y pastelería
Harina integral de trigo,Hacendado,Paquete,1 kg,0.8,Mercadona,Panadería y pastelería
Preparado para pizzas,Hacendado,Paquete,1 kg,1.45,Mercadona,Panadería y pastelería
Harina de espelta  100% integral,Hacendado,Paquete,1 kg,1.39,Mercadona,Panadería y pastelería
Harina semolosa de trigo  especial para fritos,Hacendado,Paquete,1 kg,1.2,Mercadona,Panadería y pastelería
Harina de arroz,Hacendado,Paquete,500 g,1.25,Mercadona,Panadería y pastelería
Preparado panificación y repostería,Hacendado,Paquete,1 kg,2.7,Mercadona,Panadería y pastelería
Harina de garbanzo,Hacendado,Paquete,500 g,2.0,Mercadona,Panadería y pastelería
Sémola de trigo duro  para migas,Hacendado,Paquete,1 kg,1.3,Mercadona,Panadería y pastelería
Levadura fresca,Levital,Paquete,50 g,0.45,Mercadona,Panadería y pastelería
Chocolate negro fundir,Hacendado,Tableta,200 g,1.45,Mercadona,"Miel, caramelos y chocolate"
Impulsor gasificante en polvo  uso alimentario,Royal,Caja,5 sobres (80 g),2.25,Mercadona,Panadería y pastelería
Impulsor gasificante  para uso alimentario,Hacendado,Caja,6 sobres (90 g),0.7,Mercadona,Panadería y pastelería
Gelatina neutra en láminas,Hacendado,Paquete,12 láminas (20 g),1.0,Mercadona,Panadería y pastelería
Preparado en polvo cuajada azucarada  sabor lácteo,Royal,Caja,4 sobres (48 g),1.45,Mercadona,Panadería y pastelería
Preparado en polvo flan,Royal,Caja,186 g,1.8,Mercadona,Panadería y pastelería
Gotas de chocolate negro para fundir,Hacendado,Paquete,250 g,2.1,Mercadona,"Miel, caramelos y chocolate"
